id,类型,命名空间/类,方法,子方法,调用形态,文档可用性,来源,路径类别,探测表达式,修正表达式,GP状态,GP存在,GP真名,GP近似名,GP备注,UI状态,UI存在,UI真名,UI近似名,UI备注,其它UI状态,实际范围,一致性判定,参数,返回
Q-CityGetBuildingsGetBuildingNameOverride,QUERY,City,GetBuildings,GetBuildingNameOverride,Colon (Instance),Both,objects,colon-sub,__SC.C_City_P_GetBuildings.GetBuildingNameOverride,,function,是,,,经 instance:player-cities 检出,function,是,,,经 instance:player-cities 检出,,双端,一致,buildingIndex:::number,overrideName:::string
Q-CityGetBuildingsGetBuildingLocation,QUERY,City,GetBuildings,GetBuildingLocation,Colon (Instance),GamePlay,objects,colon-sub,__SC.C_City_P_GetBuildings.GetBuildingLocation,,function,是,,,经 instance:player-cities 检出,nil,否,,,经 instance:player-cities 检查：无此方法,,仅GP,一致,,"x:::number, y:::number"
Q-CityGetBuildingsGetPlayerFromIndex,QUERY,City,GetBuildings,GetPlayerFromIndex,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildings.GetPlayerFromIndex,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,,
Q-CityGetBuildingsTypeName,QUERY,City,GetBuildings,TypeName,Colon (Instance),Both,objects,colon-sub,__SC.C_City_P_GetBuildings.TypeName,,string,是,,,经 instance:player-cities 检出,string,是,,,经 instance:player-cities 检出,,双端,一致,,TypeName:::string
Q-CityGetBuildingYield,QUERY,City,GetBuildingYield,,Colon (Instance),UI,objects,colon,__SC.C_City.GetBuildingYield,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,"buildingIndex:::number, yieldID:::number",yield:::number
Q-CityGetBuildQueue,QUERY,City,GetBuildQueue,,Colon (Instance),Both,objects,colon,__SC.C_City.GetBuildQueue,,function,是,,,经 instance:player-cities 检出,function,是,,,经 instance:player-cities 检出,,双端,一致,,BuildQueue:::object
A-CityGetBuildQueueAddProgress,ACTION,City,GetBuildQueue,AddProgress,Colon (Instance),GamePlay,objects,colon-sub,__SC.C_City_P_GetBuildQueue.AddProgress,,function,是,,,经 instance:player-cities 检出,nil,否,,,经 instance:player-cities 检查：无此方法,,仅GP,一致,amount:::number,
Q-CityGetBuildQueueCanProduce,QUERY,City,GetBuildQueue,CanProduce,Colon (Instance),Both,objects,colon-sub,__SC.C_City_P_GetBuildQueue.CanProduce,,function,是,,,经 instance:player-cities 检出,function,是,,,经 instance:player-cities 检出,,双端,一致,"hash:::number, isAble:::boolean",[True/False]:::boolean
A-CityGetBuildQueueCreateBuilding,ACTION,City,GetBuildQueue,CreateBuilding,Colon (Instance),GamePlay,objects,colon-sub,__SC.C_City_P_GetBuildQueue.CreateBuilding,,function,是,,,经 instance:player-cities 检出,nil,否,,,经 instance:player-cities 检查：无此方法,,仅GP,一致,"City:::object, buildingIndex:::number, progress:::number, plotID:::number",
A-CityGetBuildQueueCreateDistrict,ACTION,City,GetBuildQueue,CreateDistrict,Colon (Instance),GamePlay,objects,colon-sub,__SC.C_City_P_GetBuildQueue.CreateDistrict,,function,是,,,经 instance:player-cities 检出,nil,否,,,经 instance:player-cities 检查：无此方法,,仅GP,一致,"City:::object, districtID:::number, progress:::number, Plot:::object",
A-CityGetBuildQueueCreateIncompleteBuilding,ACTION,City,GetBuildQueue,CreateIncompleteBuilding,Colon (Instance),GamePlay,objects,colon-sub,__SC.C_City_P_GetBuildQueue.CreateIncompleteBuilding,,function,是,,,经 instance:player-cities 检出,nil,否,,,经 instance:player-cities 检查：无此方法,,仅GP,一致,"buildingIndex:::number, Plot:::object, progress:::number",
A-CityGetBuildQueueCreateIncompleteDistrict,ACTION,City,GetBuildQueue,CreateIncompleteDistrict,Colon (Instance),GamePlay,objects,colon-sub,__SC.C_City_P_GetBuildQueue.CreateIncompleteDistrict,,function,是,,,经 instance:player-cities 检出,nil,否,,,经 instance:player-cities 检查：无此方法,,仅GP,一致,"districtID:::number, Plot:::object, progress:::number",
Q-CityGetBuildQueueCurrentlyBuilding,QUERY,City,GetBuildQueue,CurrentlyBuilding,Colon (Instance),GamePlay,objects,colon-sub,__SC.C_City_P_GetBuildQueue.CurrentlyBuilding,,function,是,,,经 instance:player-cities 检出,nil,否,,,经 instance:player-cities 检查：无此方法,,仅GP,一致,,buildingIndex:::number
A-CityGetBuildQueueFinishProgress,ACTION,City,GetBuildQueue,FinishProgress,Colon (Instance),GamePlay,objects,colon-sub,__SC.C_City_P_GetBuildQueue.FinishProgress,,function,是,,,经 instance:player-cities 检出,nil,否,,,经 instance:player-cities 检查：无此方法,,仅GP,一致,,
Q-CityGetBuildQueueGetBuildingCost,QUERY,City,GetBuildQueue,GetBuildingCost,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildQueue.GetBuildingCost,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,buildingIndex:::number,cost:::number
Q-CityGetBuildQueueGetBuildingProgress,QUERY,City,GetBuildQueue,GetBuildingProgress,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildQueue.GetBuildingProgress,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,buildingIndex:::number,progress:::number
Q-CityGetBuildQueueGetCity,QUERY,City,GetBuildQueue,GetCity,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildQueue.GetCity,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,,City:::object
Q-CityGetBuildQueueGetConstructionPlot,QUERY,City,GetBuildQueue,GetConstructionPlot,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildQueue.GetConstructionPlot,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,"hash:::number, type:::string, componentID:::number",Plot:::object
Q-CityGetBuildQueueGetConstructionsAtLocation,QUERY,City,GetBuildQueue,GetConstructionsAtLocation,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildQueue.GetConstructionsAtLocation,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,plotID:::number,constructions:::table
Q-CityGetBuildQueueGetCurrentProductionTypeHash,QUERY,City,GetBuildQueue,GetCurrentProductionTypeHash,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildQueue.GetCurrentProductionTypeHash,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,,hash:::number
Q-CityGetBuildQueueGetCurrentProductionTypeModifier,QUERY,City,GetBuildQueue,GetCurrentProductionTypeModifier,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildQueue.GetCurrentProductionTypeModifier,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,,modifier:::number
Q-CityGetBuildQueueGetDistrictCost,QUERY,City,GetBuildQueue,GetDistrictCost,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildQueue.GetDistrictCost,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,districtID:::number,cost:::number
Q-CityGetBuildQueueGetDistrictProgress,QUERY,City,GetBuildQueue,GetDistrictProgress,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildQueue.GetDistrictProgress,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,districtID:::number,progress:::number
Q-CityGetBuildQueueGetPreviousProductionTypeHash,QUERY,City,GetBuildQueue,GetPreviousProductionTypeHash,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildQueue.GetPreviousProductionTypeHash,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,,hash:::number
Q-CityGetBuildQueueGetProjectCost,QUERY,City,GetBuildQueue,GetProjectCost,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildQueue.GetProjectCost,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,projectID:::number,cost:::number
Q-CityGetBuildQueueGetProjectProgress,QUERY,City,GetBuildQueue,GetProjectProgress,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildQueue.GetProjectProgress,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,projectID:::number,progress:::number
Q-CityGetBuildQueueGetTurnsLeft,QUERY,City,GetBuildQueue,GetTurnsLeft,Colon (Instance),Both,objects,colon-sub,__SC.C_City_P_GetBuildQueue.GetTurnsLeft,,function,是,,,经 instance:player-cities 检出,function,是,,,经 instance:player-cities 检出,,双端,一致,componentID:::number,turns:::number
Q-CityGetBuildQueueGetUnitArmyCost,QUERY,City,GetBuildQueue,GetUnitArmyCost,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildQueue.GetUnitArmyCost,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,unitIndex:::number,cost:::number
Q-CityGetBuildQueueGetUnitCorpsCost,QUERY,City,GetBuildQueue,GetUnitCorpsCost,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildQueue.GetUnitCorpsCost,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,unitIndex:::number,cost:::number
Q-CityGetBuildQueueGetUnitCost,QUERY,City,GetBuildQueue,GetUnitCost,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildQueue.GetUnitCost,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,unitIndex:::number,cost:::number
Q-CityGetBuildQueueGetUnitProgress,QUERY,City,GetBuildQueue,GetUnitProgress,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildQueue.GetUnitProgress,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,unitIndex:::number,progress:::number
Q-CityGetBuildQueueHasBeenPlaced,QUERY,City,GetBuildQueue,HasBeenPlaced,Colon (Instance),Both,objects,colon-sub,__SC.C_City_P_GetBuildQueue.HasBeenPlaced,,function,是,,,经 instance:player-cities 检出,function,是,,,经 instance:player-cities 检出,,双端,一致,any_districtBuildingHash:::number,[True/False]:::boolean
Q-CityGetBuildQueueGetProductionYield,QUERY,City,GetBuildQueue,GetProductionYield,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildQueue.GetProductionYield,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,,yield:::number
Q-CityGetBuildQueueGetSize,QUERY,City,GetBuildQueue,GetSize,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildQueue.GetSize,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,,length:::number
Q-CityGetBuildQueueGetAt,QUERY,City,GetBuildQueue,GetAt,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildQueue.GetAt,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,position:::number,entry:::table
A-CityGetBuildQueueRemoveDistrict,ACTION,City,GetBuildQueue,RemoveDistrict,Colon (Instance),GamePlay,objects,colon-sub,__SC.C_City_P_GetBuildQueue.RemoveDistrict,,function,是,,,经 instance:player-cities 检出,nil,否,,,经 instance:player-cities 检查：无此方法,,仅GP,一致,,districtIndex:::number
Q-CityGetBuildQueueHasProductionProgress,QUERY,City,GetBuildQueue,HasProductionProgress,Colon (Instance),Both,objects,colon-sub,__SC.C_City_P_GetBuildQueue.HasProductionProgress,,function,是,,,经 instance:player-cities 检出,function,是,,,经 instance:player-cities 检出,,双端,一致,,[True/False]:::boolean
Q-CityGetBuildQueueHasBuildingProductionProgress,QUERY,City,GetBuildQueue,HasBuildingProductionProgress,Colon (Instance),GamePlay,objects,colon-sub,__SC.C_City_P_GetBuildQueue.HasBuildingProductionProgress,,function,是,,,经 instance:player-cities 检出,nil,否,,,经 instance:player-cities 检查：无此方法,,仅GP,一致,,[True/False]:::boolean
Q-CityGetBuildQueueHasBuildingBeenPlaced,QUERY,City,GetBuildQueue,HasBuildingBeenPlaced,Colon (Instance),GamePlay,objects,colon-sub,__SC.C_City_P_GetBuildQueue.HasBuildingBeenPlaced,,function,是,,,经 instance:player-cities 检出,nil,否,,,经 instance:player-cities 检查：无此方法,,仅GP,一致,,[True/False]:::boolean
A-CityGetBuildQueueRemoveBuilding,ACTION,City,GetBuildQueue,RemoveBuilding,Colon (Instance),GamePlay,objects,colon-sub,__SC.C_City_P_GetBuildQueue.RemoveBuilding,,function,是,,,经 instance:player-cities 检出,nil,否,,,经 instance:player-cities 检查：无此方法,,仅GP,一致,,buildingIndex:::number
Q-CityGetBuildQueueGetUnitResourceCost,QUERY,City,GetBuildQueue,GetUnitResourceCost,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildQueue.GetUnitResourceCost,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,,cost:::number
Q-CityGetBuildQueueGetNumEntriesOfProductionTypeHash,QUERY,City,GetBuildQueue,GetNumEntriesOfProductionTypeHash,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetBuildQueue.GetNumEntriesOfProductionTypeHash,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,,numEntries:::number
Q-CityGetBuildQueueHasDistrictProductionProgress,QUERY,City,GetBuildQueue,HasDistrictProductionProgress,Colon (Instance),GamePlay,objects,colon-sub,__SC.C_City_P_GetBuildQueue.HasDistrictProductionProgress,,function,是,,,经 instance:player-cities 检出,nil,否,,,经 instance:player-cities 检查：无此方法,,仅GP,一致,,[True/False]:::boolean
Q-CityGetBuildQueueGetAvailableProductionTypes,QUERY,City,GetBuildQueue,GetAvailableProductionTypes,Colon (Instance),GamePlay,objects,colon-sub,__SC.C_City_P_GetBuildQueue.GetAvailableProductionTypes,,function,是,,,经 instance:player-cities 检出,nil,否,,,经 instance:player-cities 检查：无此方法,,仅GP,一致,,
Q-CityGetBuildQueueCheckActiveProduction,QUERY,City,GetBuildQueue,CheckActiveProduction,Colon (Instance),GamePlay,objects,colon-sub,__SC.C_City_P_GetBuildQueue.CheckActiveProduction,,function,是,,,经 instance:player-cities 检出,nil,否,,,经 instance:player-cities 检查：无此方法,,仅GP,一致,,
Q-CityGetBuildQueueHasDistrictBeenPlaced,QUERY,City,GetBuildQueue,HasDistrictBeenPlaced,Colon (Instance),GamePlay,objects,colon-sub,__SC.C_City_P_GetBuildQueue.HasDistrictBeenPlaced,,function,是,,,经 instance:player-cities 检出,nil,否,,,经 instance:player-cities 检查：无此方法,,仅GP,一致,,[True/False]:::boolean
Q-CityGetBuildQueueTypeName,QUERY,City,GetBuildQueue,TypeName,Colon (Instance),Both,objects,colon-sub,__SC.C_City_P_GetBuildQueue.TypeName,,string,是,,,经 instance:player-cities 检出,string,是,,,经 instance:player-cities 检出,,双端,一致,,type:::string
Q-CityGetCitizens,QUERY,City,GetCitizens,,Colon (Instance),Both,objects,colon,__SC.C_City.GetCitizens,,function,是,,,经 instance:player-cities 检出,function,是,,,经 instance:player-cities 检出,,双端,一致,,Citizens:::object
Q-CityGetCitizensIsDisfavoredYield,QUERY,City,GetCitizens,IsDisfavoredYield,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetCitizens.IsDisfavoredYield,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,YieldTypes yieldType::(enum),[True/False]:::boolean
Q-CityGetCitizensIsFavoredYield,QUERY,City,GetCitizens,IsFavoredYield,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetCitizens.IsFavoredYield,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,YieldTypes yieldType::(enum),[True/False]:::boolean
Q-CityGetCitizensIsPlotWorked,QUERY,City,GetCitizens,IsPlotWorked,Colon (Instance),UI,objects,colon-sub,__SC.C_City_P_GetCitizens.IsPlotWorked,,nil,否,,,经 instance:player-cities 检查：无此方法,function,是,,,经 instance:player-cities 检出,,仅UI,一致,"x:::number, y:::number",[True/False]:::boolean
A-CityGetCitizensSetFavoredYield,ACTION,City,GetCitizens,SetFavoredYield,Colon (Instance),GamePlay,objects,colon-sub,__SC.C_City_P_GetCitizens.SetFavoredYield,,function,是,,,经 instance:player-cities 检出,nil,否,,,经 instance:player-cities 检查：无此方法,,仅GP,一致,"YieldTypes yieldType::(enum), isFavored:::boolean",wasSuccess:::boolean
