清单,名称,UI命中面数,GP命中面数,UI命中面,GP命中面
CodeBuddyFuncs,IsSelected,0,0,,
CodeBuddyFuncs,IsShiftDown,0,0,,
CodeBuddyFuncs,IsStopped,0,0,,
CodeBuddyFuncs,IsTextTruncated,0,0,,
CodeBuddyFuncs,IsTextureLoaded,0,0,,
CodeBuddyFuncs,IsToolTipEnabled,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,IsTooltipShowing,1,0,TTManager,
CodeBuddyFuncs,IsTopModal,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,IsTopOfPopupQueue,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,IsTouchToolTipDisabled,1,0,TouchManager,
CodeBuddyFuncs,IsTrackingLeftMouseButton,0,0,,
CodeBuddyFuncs,IsTrackingMiddleMouseButton,0,0,,
CodeBuddyFuncs,IsTrackingRightMouseButton,0,0,,
CodeBuddyFuncs,IsTrackingTouch,0,0,,
CodeBuddyFuncs,IsUsingHighlightShader,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,IsVisible,2,1,"__SC.C_ContextPtr, __SC.C_Control",PlayerVisibility
CodeBuddyFuncs,IsVisibleOnMap,0,0,,
CodeBuddyFuncs,IsVisibleOnWorld,0,0,,
CodeBuddyFuncs,LastHitOffset,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,LoadNewContext,1,0,__SC.C_ContextPtr,
CodeBuddyFuncs,LocalizeAndSetText,0,0,,
CodeBuddyFuncs,LocalizeAndSetToolTip,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,Log,2,1,"UIManager, __SC.C_UIManager",Automation
CodeBuddyFuncs,LogAllocations,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,LookUpControl,1,0,__SC.C_ContextPtr,
CodeBuddyFuncs,LostMouseOver,0,0,,
CodeBuddyFuncs,Pause,0,1,,Automation
CodeBuddyFuncs,PauseAllEffects,1,0,EffectsManager,
CodeBuddyFuncs,Play,0,0,,
CodeBuddyFuncs,PlayEffect,1,0,EffectsManager,
CodeBuddyFuncs,PlayEffectOneTime,1,0,EffectsManager,
CodeBuddyFuncs,PlayMask,0,0,,
CodeBuddyFuncs,PopAllInterrupts,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,PopModal,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,PrintAllocationInfo,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,PushModal,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,QueuePopup,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,ReceiveCallbacksIfDisabled,0,0,,
CodeBuddyFuncs,ReferenceCurrentGameCoreEvent,0,0,,
CodeBuddyFuncs,RegisterAnimCallback,0,0,,
CodeBuddyFuncs,RegisterCharCallback,0,0,,
CodeBuddyFuncs,RegisterCheckHandler,0,0,,
CodeBuddyFuncs,RegisterCommitCallback,0,0,,
CodeBuddyFuncs,RegisterDownEndCallback,0,0,,
CodeBuddyFuncs,RegisterEndCallback,0,0,,
CodeBuddyFuncs,RegisterHasFocusCallback,0,0,,
CodeBuddyFuncs,RegisterLostFocusCallback,0,0,,
CodeBuddyFuncs,RegisterMouseEnterCallback,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,RegisterMouseExitCallback,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,RegisterMouseOverCallback,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,RegisterOpenToggleCallback,0,0,,
