对象/命名空间,GP方法数,UI方法数,共有,仅GP,仅UI,仅GP清单,仅UI清单
C_Player_P_GetAi_Diplomacy,7,0,0,7,0,AdjustBaseDiplomacy GetDiplomaticModifiers GetDiplomaticScore GetDiplomaticState GetTradeWithHuman SetTradeWithHuman TypeName,
C_Player_P_GetAi_Military,12,0,0,12,0,AddUnitToScriptedOperation AllowUnitConstruction CanConstructUnits HasOperationAgainst PrepareForWarWith ScriptForceUpdateTargets SetRival SetScriptedOperationReady SetScriptedTargetAndRally StartScriptedOperation StartScriptedOperationWithTargetAndRally TypeName,
C_Player_P_GetAi_Religion,2,0,0,2,0,SetFavoredReligion TypeName,
C_Player_P_GetCities,10,10,6,4,4,Create Destroy GetOriginalCapitalCity IsValidFoundLocation,GetFirstRangedAttackCity GetNextCapturedCity GetNextRebelledCity IsCityWithinRange
C_Player_P_GetCulture,30,68,17,13,51,ChangeCurrentCulturalProgress ClearPolicySlot GetTurnsLeftOnCurrentCivic Reset ReverseBoost SetCivic SetCivicCompletedThisTurn SetCulturalProgress SetCurrentGovernment SetProgressingCivic TriggerBoost UnlockGovernment UnlockPolicy,CanChangeGovernment CanChangeGovernmentAtAll CanPolicyBeSlotted CanProgress CanSlotPolicy CanTriggerBoost CivicUnlocksGovernment GetAnarchyEndTurn GetAutoThemedBuilding GetCivicPath GetCivicQueue GetCostToUnlockPolicies GetCulturalProgress GetCultureYieldToolTip GetCurrentGovernment GetEnactPolicyCost GetExtraTradeRouteTourismModifier GetFlatBonus GetGreatWorksInCity GetIncrementingBonus GetIncrementingBonusIncrement GetIncrementingBonusInterval GetIncrementingBonusTurnsUntilNext GetLifetimeCulture GetNumPoliciesUnlocked GetNumPolicySlotsOpen GetSlotType GetStaycationers GetTourismAt GetTourismTooltipAt GetTouristsAt GetTouristsFrom GetTouristsFromTooltip GetTouristsTo GetTurnsLeft GetTurnsToProgressCivic GetTurnsUntilDominant GetTurnsUntilVictory GovernmentChangeConsidered GovernmentChangeMade IsAutoThemedEligible IsCivicRevealed IsEverAutoThemable IsInAnarchy IsPolicyBanned PolicyChangeMade RequestChangeGovernment RequestClearSlot RequestEnactPolicy RequestPolicyChanges SetGovernmentChangeConsidered
C_Player_P_GetDiplomacy,31,49,12,19,37,ChangeFavor DeclareWarOn GetFavor GetFavorPerTurn HasAllied HasDeclaredFriendship MakePeaceWith NeverMakePeaceWith RecheckVisibilityOn RecheckVisibilityOnAll SendKudoTo SendWarningTo SetHasAllied SetHasDeclaredFriendship SetHasDelegationAt SetHasEmbassyAt SetHasMet SetPermanentAlliance SetVisibilityOn,CanLiberateCityTo ComputeCityWarmongerPoints ComputeDOWWarmongerPoints ComputeResearchAgreementTurns GetAllianceLevel GetAlliancePointsPerTurn GetAlliancePointsTooltip GetAllianceTurnsThisLevel GetAllianceTurnsToNextLevel GetAllianceTurnsUntilExpiration GetAllianceType GetAtWarChangeTurn GetDeclaredFriendshipTurn GetDenounceTurn GetDiplomaticActionCost GetGrievancesAgainst GetMission GetNextEscapingSpyID GetNextPursuedSpyID GetNthCapturedSpy GetNthOffMapSpy GetNumPlayersMet GetNumSpiesCaptured GetNumSpiesOffMap GetPlayersMet GetPlayersMetIDs GetRecentMissions GetResearchAgreementTech GetSourceTurnsRemaining GetSpyCapacity GetWarmongerLevel HasDefensivePact HasOpenBordersFrom IsDiplomaticActionValid IsFightingAnyJointWarWith IsFightingJointWarAgainst IsPromiseMade
C_Player_P_GetDiplomaticAI,0,10,0,0,10,,GetDealItemDesirability GetDealItemDesirabilityString GetDiplomaticModifiers GetDiplomaticScore GetDiplomaticStateIndex GetThreatFrom GetThreatString GetTrustFrom GetTrustString TypeName
C_Player_P_GetDistricts,4,4,4,0,0,,
C_Player_P_GetEras,4,0,0,4,0,GetEra SetEra SetStartingEra TypeName,
C_Player_P_GetGovernors,4,22,3,1,19,ChangeGovernorPoints,CanAppoint CanAppointGovernor CanAssignGovernor CanEarnPromotion CanEverAppointGovernor CanPromote CanPromoteGovernor GetAssignedCity GetAssignedGovernor GetBaseTurnsUntilEstablished GetGovernor GetGovernorList GetSecretSociety GetTurnsToEstablish HasGovernor HasTitleBeenConsidered IsAwareOfSecretSociety IsGovernorEstablished SetTitleConsidered
C_Player_P_GetGrandStrategicAI,0,4,0,0,4,,GetCivicsRecommendations GetSettlementRecommendations GetTechRecommendations TypeName
C_Player_P_GetGreatPeoplePoints,5,4,2,3,2,CalculatePointsPerTurn ChangePointsTotal SetPointsTotal,GetPointsPerTurn IsNoPatronageWith
C_Player_P_GetImprovements,0,2,0,0,2,,GetImprovementPlots TypeName
C_Player_P_GetInfluence,13,19,11,2,8,ChangeTokensToGive GiveFreeTokenToPlayer,CanGiveTokensToPlayer CanLevyMilitary GetLevyMilitaryCost GetLevyTurnCounter GetLevyTurnLimit IsGivingTokensConsidered IsSuzerainUniqueBonusDisabled SetGivingTokensConsidered
C_Player_P_GetInfluenceMap,0,2,0,0,2,,Find TypeName
C_Player_P_GetReligion,12,13,8,4,5,ChangeFaithBalance ChangeNumBeliefsEarned SetFaithBalance SetHolyCity,CanAfford GetFaithYieldToolTip GetHolyCityID GetNumBeliefsEarned HasReligiousFoundingUnit
C_Player_P_GetResources,4,18,3,1,15,ChangeResourceAmount,GetBonusResourcePerTurn GetCityResourceAllocations GetExportedResourceAmount GetPowerResourceDemandPerTurn GetReservedResourceAmount GetResourceAccumulationPerTurn GetResourceAllocationCities GetResourceImportPerTurn GetResourceStockpileCap GetResourcesExtractedByCity GetUnitResourceDemandPerTurn HasExportedResource IsResourceBanned IsResourceExtractableAt IsResourceVisible
C_Player_P_GetStats,13,16,2,11,14,ChangeScienceVictoryPoints GetNumBeliefsInReligion GetNumCitiesFollowingReligionWithWonder GetNumDistrictsFollowingReligion GetNumFollowers GetNumForeignCitiesFollowingReligion GetNumForeignFollowers GetNumMyCitiesFollowingSpecificReligion UpdateMaxBombardStrengthTrained UpdateMaxMeleeStrengthTrained UpdateMaxRangedStrengthTrained,GetDiplomaticVictoryPoints GetDiplomaticVictoryPointsTooltip GetHasRevivedPlayer GetMilitaryStrength GetMilitaryStrengthWithoutTreasury GetNumBuildingsOfType GetNumCivicsCompleted GetNumProjectsAdvanced GetNumTechsResearched GetScienceVictoryPoints GetScienceVictoryPointsPerTurn GetScienceVictoryPointsTotalNeeded GetTourism GetTourismToolTip
C_Player_P_GetTechs,19,18,13,6,5,ChangeCurrentResearchProgress ReverseBoost SetResearchProgress SetResearchingTech SetTech TriggerBoost,CanTriggerBoost GetResearchPath GetResearchQueue GetScienceYieldToolTip IsTechRevealed
C_Player_P_GetTrade,4,7,3,1,4,CountOutgoingRoutes,GetInternationalYieldModifier GetLandRangeRefuel GetNumOutgoingRoutes GetWaterRangeRefuel
C_Player_P_GetTreasury,11,12,8,3,4,ChangeGoldBalance ChangeGoldBalanceByPercentage SetGoldBalance,CanAfford GetGoldYieldToolTip GetMaintDiscountPerUnit GetTotalMaintenanceToolTip
C_Player_P_GetUnits,10,7,4,6,3,Create Destroy IsBuildDisabled RecomputeAllCosts RecomputeCost SetBuildDisabled,GetFirstReadyUnit GetNextExtractingArchaeologist GetProcessingState
C_Player_P_GetWMDs,4,3,3,1,0,ChangeWeaponCount,
C_Plot,91,89,89,2,0,SetOwner SetProperty,
C_Plot_P_GetArea,15,15,15,0,0,,
C_Plot_P_GetFeature,4,4,4,0,0,,
C_PullDownInstanceManager,0,5,0,0,5,,BuildInstance GetInstance ResetInstances __index new
C_Territories_P_GetTerritoryAt,15,14,14,1,0,SetName,
C_UI_P_GetGameParameters,0,6,0,0,6,,Add Get GetValue Remove SetValue TypeName
C_Unit,71,72,50,21,22,ChangeActionCharges ChangeDamage ChangeExtraMoves ChangeMovesRemaining GetChildIDs GetDomain GetExtraMoves GetFormationUnitIDs GetFormationUnits GetOperationParameter GetOperationType GetParentID GetReligion GetTypeHash IsGreatPerson IsHero SetActionCharges SetDamage SetFortifyTurns SetMilitaryFormation SetProperty,GetAirSlots GetAirUnits GetArchaeology GetArchaeologyHomeCity GetBarbarianTargetPlayer GetBarbarianTribeIndex GetGreatWorkIndex GetLootName GetPlotId GetPursuingSpyName GetReligionType GetReligiousHealCharges GetReligiousStrength GetRockBand GetSpreadCharges GetSpyOperation GetSpyOperationEndTurn GetTrade GetUnitType GetUpgradeResourceCost IsAutomated IsCannotAttack
C_Unit_P_GetAbility,8,2,2,6,0,AddAbilityCount CanHaveAbility ChangeAbilityCount GetAbilityCount HasAbility RemoveAbilityCount,
C_Unit_P_GetArchaeology,0,8,0,0,8,,GetActivationHighlightPlots GetAreaHighlightPlots GetArtifactIndex GetGreatWorkIndex GetHomeBuilding GetHomeCityID GetUnit TypeName
C_Unit_P_GetExperience,11,8,5,6,3,CanPromote ChangeExperience ChangeStoredPromotions SetExperienceLocked SetPromotion SetVeteranName,GetLevel GetPromotions GetUnit
C_Unit_P_GetGreatPerson,5,11,4,1,7,GetIndividualHash,GetActivationHighlightPlots GetAreaHighlightPlots GetPassiveEffectText GetPassiveNameText GetUnit HasPassiveEffect IsGreatPerson
C_Unit_P_GetReligion,27,0,0,27,0,ChangeEvictPercent ChangeForeignSpreadModifier ChangeNWDeferredCharges ChangeReligiousHealCharges ChangeReligiousStrength ChangeSpreadCharges GetEvictPercent GetForeignSpreadModifier GetInitiationAmount GetInitiationYield GetNWDeferredCharges GetReligionType GetReligiousHealCharges GetReligiousStrength GetSpreadCharges IsConvertsBarbarians IsNoForeignSpread IsRelicUponDeath SetConvertsBarbarians SetEvictPercent SetForeignSpreadModifier SetInitiationAmount SetInitiationYield SetNoForeignSpread SetRelicUponDeath SetReligionType TypeName,
C_Unit_P_GetRockBand,0,8,0,0,8,,GetActivationHighlightPlots GetAlbumSales GetAreaHighlightPlots GetRockBandLevel GetUnit IsMaxLevel IsMaxPromotions TypeName
C_Unit_P_GetTrade,0,3,0,0,3,,GetLastDestinationTradeCityComponentID GetLastOriginTradeCityComponentID TypeName
C_WorldBuilder_P_CityManager,16,0,0,16,0,Create CreateBuilding CreateDistrict GetCity GetCityValue GetDistrictValue GetPlotOwner Remove RemoveAll RemoveAt RemoveBuilding RemoveDistrict SetCityValue SetDistrictValue SetPlotOwner TypeName,
C_WorldBuilder_P_ConfigurationManager,4,0,0,4,0,GetMapValue GetMapValues SetMapValue TypeName,
C_WorldBuilder_P_MapManager,25,0,0,25,0,CanPlaceFeature CanPlaceImprovement CanPlaceResource DoesPlotBorderRiver EditCliff EditRiver GetContinentPlots GetDimensionsFromTiled GetFeaturePlacementPlotList GetPlotValue IsImprovementPlaceable IsWonderTooClose LoadPlotsFromTiled SetAllRevealed SetCoastalLowland SetContinentType SetFeatureType SetImprovementPillaged SetImprovementType SetPlotValue SetResourceType SetRevealed SetRouteType SetTerrainType TypeName,
C_WorldBuilder_P_ModManager,7,0,0,7,0,GetKeyStringPairByIndex GetLanguageByIndex GetString RemoveString SetKeyStringPairByIndex SetString TypeName,
C_WorldBuilder_P_PlayerManager,26,0,0,26,0,AddPlayer ClearPlayerStartingPosition ClearStartingPosition GetMaxPlayers GetPlayerConfig GetSlotStatus GetStartPositionInfo GetStartPositionPlayer InitializePlayer IsPlayerInitialized PlayerHasCivic PlayerHasTech SetCivilizationStartingPosition SetLeaderStartingPosition SetPlayerEra SetPlayerFaith SetPlayerGold SetPlayerHasCivic SetPlayerHasTech SetPlayerLeader SetPlayerSlotStatus SetPlayerStartingPosition SetRandomMajorStartingPosition SetRandomMinorStartingPosition TypeName UninitializePlayer,
C_WorldBuilder_P_UnitManager,5,0,0,5,0,Create Remove RemoveAll RemoveAt TypeName,
