库表,GP,UI
LoyaltyLevels,userdata,userdata
MajorStartingUnits,userdata,userdata
MapRainfalls,userdata,userdata
MapResourceDistributions,userdata,userdata
MapSeaLevels,userdata,userdata
MapStartPositions,userdata,userdata
MapTemperatures,userdata,userdata
MapWorldAges,userdata,userdata
Map_GreatPersonClasses,userdata,userdata
Maps,userdata,userdata
Maps_XP2,userdata,userdata
MinorCivBonuses,userdata,userdata
ModifierArguments,userdata,userdata
ModifierStrings,userdata,userdata
Modifiers,userdata,userdata
MomentDataTypes,userdata,userdata
MomentIllustrationTypes,userdata,userdata
MomentIllustrations,userdata,userdata
Moments,userdata,userdata
Months,userdata,userdata
MutuallyExclusiveBuildings,userdata,userdata
MutuallyExclusiveDistricts,userdata,userdata
NamedDesertCivilizations,userdata,userdata
NamedDeserts,userdata,userdata
NamedLakeCivilizations,userdata,userdata
NamedLakes,userdata,userdata
NamedMountainCivilizations,userdata,userdata
NamedMountains,userdata,userdata
NamedOceanCivilizations,userdata,userdata
NamedOceans,userdata,userdata
NamedRiverCivilizations,userdata,userdata
NamedRivers,userdata,userdata
NamedSeaCivilizations,userdata,userdata
NamedSeas,userdata,userdata
NamedVolcanoCivilizations,userdata,userdata
NamedVolcanoes,userdata,userdata
NavigationProperties,nil,nil
NodeDataDefinitions,userdata,userdata
NodeDefinitions,userdata,userdata
Notifications,userdata,userdata
ObsoletePolicies,userdata,userdata
OpTeamRequirements,userdata,userdata
PlayerColors,userdata,userdata
PlotEvalConditions,userdata,userdata
Policies,userdata,userdata
Policies_XP1,userdata,userdata
PolicyModifiers,userdata,userdata
Policy_GovernmentExclusives_XP2,userdata,userdata
PrevailingWinds,userdata,userdata
ProjectCompletionModifiers,userdata,userdata
ProjectPrereqs,userdata,userdata
Project_BuildingCosts,userdata,userdata
Project_GreatPersonPoints,userdata,userdata
Project_ResourceCosts,userdata,userdata
Project_YieldConversions,userdata,userdata
Projects,userdata,userdata
Projects_MODE,userdata,userdata
Projects_XP1,userdata,userdata
Projects_XP2,userdata,userdata
ProposalBlockers,userdata,userdata
ProposalTypes,userdata,userdata
PseudoYields,userdata,userdata
Quests,userdata,userdata
RandomAgendaCivicTags,userdata,userdata
RandomAgendaEraTags,userdata,userdata
RandomAgendas,userdata,userdata
RandomAgendasForCivic,userdata,userdata
RandomAgendasInEra,userdata,userdata
RandomAgendas_XP2,userdata,userdata
