id,类型,命名空间/类,方法,子方法,调用形态,文档可用性,来源,路径类别,探测表达式,修正表达式,GP状态,GP存在,GP真名,GP近似名,GP备注,UI状态,UI存在,UI真名,UI近似名,UI备注,其它UI状态,实际范围,一致性判定,参数,返回
A-PlayerSetScoringScenario,ACTION,Player,SetScoringScenario,,Colon (Instance),Both,objects,colon,__SC.C_Player.SetScoringScenario,,nil,否,,SetScoringScenario1 SetScoringScenario2 SetScoringScenario3,经 instance:local#0 检查：无此方法,nil,否,,,经 instance:local#0 检查：无此方法,,双端未见,文档偏宽：双端均未见,,
C-PlayerVisibilityManager,CONTEXT,PlayerVisibilityManager,,,Dot (Global),UI,objects,namespace,PlayerVisibilityManager,,table,是,,,命名空间存在,table,是,,,命名空间存在,,双端,文档偏窄：GP 亦可见,,
Q-PlayerVisibilityManagerIsVisibleToNonOwner,QUERY,PlayerVisibilityManager,IsVisibleToNonOwner,,Dot (Global),UI,objects,dot,PlayerVisibilityManager.IsVisibleToNonOwner,,function,是,,,,function,是,,,,,双端,文档偏窄：GP 亦可见,,[True/False]:::boolean
O-PlayerVisibility,OBJECT,PlayerVisibility,,,Colon (Instance),Both,objects,colon-obj,__SC.C_PlayerVisibility,,table,是,,,经 global-as-instance 检出,nil,否,,,该上下文既无同名模块/全局，也无实例通道,,仅GP,文档偏宽：UI 未见,,
Q-PlayerVisibilityIsVisible,QUERY,PlayerVisibility,IsVisible,,Colon (Instance),Both,objects,colon,__SC.C_PlayerVisibility.IsVisible,,function,是,,,经 global-as-instance 检出,ERR,否,,,该上下文既无同名模块/全局，也无实例通道,,仅GP,文档偏宽：UI 未见,,[True/False]:::boolean
Q-PlayerVisibilityIsRevealed,QUERY,PlayerVisibility,IsRevealed,,Colon (Instance),Both,objects,colon,__SC.C_PlayerVisibility.IsRevealed,,function,是,,,经 global-as-instance 检出,ERR,否,,,该上下文既无同名模块/全局，也无实例通道,,仅GP,文档偏宽：UI 未见,,[True/False]:::boolean
Q-PlayerVisibilityGetNumRevealedNexes,QUERY,PlayerVisibility,GetNumRevealedNexes,,Colon (Instance),Both,objects,colon,__SC.C_PlayerVisibility.GetNumRevealedNexes,,nil,否,,,经 global-as-instance 检查：无此方法,ERR,否,,,该上下文既无同名模块/全局，也无实例通道,,双端未见,文档偏宽：双端均未见,,
Q-PlayerVisibilityGetState,QUERY,PlayerVisibility,GetState,,Colon (Instance),Both,objects,colon,__SC.C_PlayerVisibility.GetState,,function,是,,,经 global-as-instance 检出,ERR,否,,,该上下文既无同名模块/全局，也无实例通道,,仅GP,文档偏宽：UI 未见,,
Q-PlayerVisibilityGetLayerValue,QUERY,PlayerVisibility,GetLayerValue,,Colon (Instance),UI,objects,colon,__SC.C_PlayerVisibility.GetLayerValue,,nil,否,,,经 global-as-instance 检查：无此方法,ERR,否,,,该上下文既无同名模块/全局，也无实例通道,,双端未见,文档存疑：UI 未见,,
Q-PlayerVisibilityIsUnitVisible,QUERY,PlayerVisibility,IsUnitVisible,,Colon (Instance),UI,objects,colon,__SC.C_PlayerVisibility.IsUnitVisible,,nil,否,,,经 global-as-instance 检查：无此方法,ERR,否,,,该上下文既无同名模块/全局，也无实例通道,,双端未见,文档存疑：UI 未见,Unit:::object,[True/False]:::boolean
